"District","District1","District2","District3","District4","Office","Name","Party","Picture","Bio"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Amish Shah","Democratic","/Custom/Picture/2535","/Custom/CandidateDetail/?id=5780"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","John Trobough","Republican","/Custom/Picture/2532","/Custom/CandidateDetail/?id=5777"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Jonathan Treble","Democratic","/Custom/Picture/2536","/Custom/CandidateDetail/?id=5781"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Joseph Chaplik","Republican","/Custom/Picture/2380","/Custom/CandidateDetail/?id=5621"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Marlene Galán-Woods","Democratic","/Custom/Picture/2533","/Custom/CandidateDetail/?id=5778"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Monica Alponte","Libertarian","/Custom/Picture/2499","/Custom/CandidateDetail/?id=5753"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Rick McCartney","Democratic","/Custom/Picture/2534","/Custom/CandidateDetail/?id=5779"
"congress district 1","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 1",,"U.S. House of Rep. - District 1","Thomas ""Jay"" Feely IV","Republican","/Custom/Picture/2531","/Custom/CandidateDetail/?id=5776"
"congress district 2","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 2",,"U.S. House of Rep. - District 2","Alex Flores (Write-In)","Libertarian","/Custom/Picture/0","/Custom/CandidateDetail/?id=5834"
"congress district 2","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 2",,"U.S. House of Rep. - District 2","Curtis Goodwin","Libertarian","/Custom/Picture/2540","/Custom/CandidateDetail/?id=5785"
"congress district 2","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 2",,"U.S. House of Rep. - District 2","Eli Crane","Republican","/Custom/Picture/2538","/Custom/CandidateDetail/?id=5783"
"congress district 2","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 2",,"U.S. House of Rep. - District 2","Jonathan Nez","Democratic","/Custom/Picture/2539","/Custom/CandidateDetail/?id=5784"
"congress district 3","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 3",,"U.S. House of Rep. - District 3","Alan Aversa","No Labels","/Custom/Picture/2542","/Custom/CandidateDetail/?id=5787"
"congress district 3","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 3",,"U.S. House of Rep. - District 3","David Redkey (Write-In)","Green","/Custom/Picture/2544","/Custom/CandidateDetail/?id=5789"
"congress district 3","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 3",,"U.S. House of Rep. - District 3","Nicholas N Glenn (Write-In)","Republican","/Custom/Picture/2543","/Custom/CandidateDetail/?id=5788"
"congress district 3","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 3",,"U.S. House of Rep. - District 3","Yassamin Ansari","Democratic","/Custom/Picture/2541","/Custom/CandidateDetail/?id=5786"
"congress district 4","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 4",,"U.S. House of Rep. - District 4","Greg Stanton","Democratic","/Custom/Picture/2547","/Custom/CandidateDetail/?id=5792"
"congress district 4","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 4",,"U.S. House of Rep. - District 4","John Fillmore","No Labels","/Custom/Picture/2549","/Custom/CandidateDetail/?id=5794"
"congress district 4","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 4",,"U.S. House of Rep. - District 4","Kai Newkirk","Democratic","/Custom/Picture/2546","/Custom/CandidateDetail/?id=5791"
"congress district 4","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 4",,"U.S. House of Rep. - District 4","Tisha Benoit","No Labels","/Custom/Picture/2548","/Custom/CandidateDetail/?id=5793"
"congress district 4","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 4",,"U.S. House of Rep. - District 4","Zuhdi Jasser","Republican","/Custom/Picture/2545","/Custom/CandidateDetail/?id=5790"
"congress district 5","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 5",,"U.S. House of Rep. - District 5","Brian Hualde","Democratic","/Custom/Picture/2552","/Custom/CandidateDetail/?id=5797"
"congress district 5","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 5",,"U.S. House of Rep. - District 5","Chris James","Democratic","/Custom/Picture/2553","/Custom/CandidateDetail/?id=5798"
"congress district 5","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 5",,"U.S. House of Rep. - District 5","Daniel Keenan","Republican","/Custom/Picture/2550","/Custom/CandidateDetail/?id=5795"
"congress district 5","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 5",,"U.S. House of Rep. - District 5","Elizabeth Lee","Democratic","/Custom/Picture/2554","/Custom/CandidateDetail/?id=5799"
"congress district 5","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 5",,"U.S. House of Rep. - District 5","Mark Lamb","Republican","/Custom/Picture/2551","/Custom/CandidateDetail/?id=5796"
"congress district 6","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 6",,"U.S. House of Rep. - District 6","Gary Swing (Write-In)","Green","/Custom/Picture/2558","/Custom/CandidateDetail/?id=5803"
"congress district 6","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 6",,"U.S. House of Rep. - District 6","Jereme Lance Peters","Libertarian","/Custom/Picture/2557","/Custom/CandidateDetail/?id=5802"
"congress district 6","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 6",,"U.S. House of Rep. - District 6","JoAnna Mendoza","Democratic","/Custom/Picture/2556","/Custom/CandidateDetail/?id=5801"
"congress district 6","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 6",,"U.S. House of Rep. - District 6","Juan Ciscomani","Republican","/Custom/Picture/2555","/Custom/CandidateDetail/?id=5800"
"congress district 7","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 7",,"U.S. House of Rep. - District 7","Adelita Grijalva","Democratic","/Custom/Picture/2560","/Custom/CandidateDetail/?id=5805"
"congress district 7","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 7",,"U.S. House of Rep. - District 7","Daniel Francis Butierez Sr.","Republican","/Custom/Picture/2559","/Custom/CandidateDetail/?id=5804"
"congress district 8","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 8",,"U.S. House of Rep. - District 8","Abraham ""Abe"" Hamadeh","Republican","/Custom/Picture/2519","/Custom/CandidateDetail/?id=5773"
"congress district 8","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 8",,"U.S. House of Rep. - District 8","Bernadette Greene-Placentia","Democratic","/Custom/Picture/2561","/Custom/CandidateDetail/?id=5806"
"congress district 8","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 8",,"U.S. House of Rep. - District 8","Raymond ""Ray"" Keeler","Democratic","/Custom/Picture/2562","/Custom/CandidateDetail/?id=5807"
"congress district 9","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 9",,"U.S. House of Rep. - District 9","Danielle ""Dani"" Sterbinsky","Democratic","/Custom/Picture/2564","/Custom/CandidateDetail/?id=5809"
"congress district 9","FEDERAL - LEGISLATIVE",,"U.S. House of Rep. - District 9",,"U.S. House of Rep. - District 9","Paul Gosar","Republican","/Custom/Picture/2563","/Custom/CandidateDetail/?id=5808"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Andy Biggs","Republican","/Custom/Picture/2425","/Custom/CandidateDetail/?id=5618"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","David Schweikert","Republican","/Custom/Picture/2384","/Custom/CandidateDetail/?id=5623"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Hugh Lytle","No Labels","/Custom/Picture/2473","/Custom/CandidateDetail/?id=5733"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Katie Hobbs","Democratic","/Custom/Picture/2343","/Custom/CandidateDetail/?id=5577"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Ken Miceli","Republican","/Custom/Picture/2527","/Custom/CandidateDetail/?id=5674"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Risa Lombardo","Green","/Custom/Picture/2460","/Custom/CandidateDetail/?id=5727"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Scott Neely","Republican","/Custom/Picture/2282","/Custom/CandidateDetail/?id=5509"
"state arizona","STATE - EXECUTIVE",,"Governor",,"Governor","Teri Ann Hourihan","No Labels","/Custom/Picture/2366","/Custom/CandidateDetail/?id=5608"
"state arizona","STATE - EXECUTIVE",,"Secretary of State",,"Secretary of State","Adrian Fontes","Democratic","/Custom/Picture/2451","/Custom/CandidateDetail/?id=5724"
"state arizona","STATE - EXECUTIVE",,"Secretary of State",,"Secretary of State","Alexander Kolodin","Republican","/Custom/Picture/2302","/Custom/CandidateDetail/?id=5533"
"state arizona","STATE - EXECUTIVE",,"Secretary of State",,"Secretary of State","Duwayne Collier","Green","/Custom/Picture/2469","/Custom/CandidateDetail/?id=5728"
"state arizona","STATE - EXECUTIVE",,"Secretary of State",,"Secretary of State","Gina Swoboda","Republican","/Custom/Picture/2450","/Custom/CandidateDetail/?id=5701"
"state arizona","STATE - EXECUTIVE",,"Attorney General",,"Attorney General","Kris Mayes","Democratic","/Custom/Picture/2292","/Custom/CandidateDetail/?id=5520"
"state arizona","STATE - EXECUTIVE",,"Attorney General",,"Attorney General","Rodney Glassman","Republican","/Custom/Picture/2287","/Custom/CandidateDetail/?id=5514"
